[WARN][06-05 16:20:30,863][org.mybatis.spring.mapper.ClassPathMapperScanner]Skipping MapperFactoryBean with name 'userCarbonMapper' and 'com.fdzc.springboot01.mapper.UserCarbonMapper' mapperInterface. Bean already defined with the same name!
[WARN][06-05 16:20:30,863][org.mybatis.spring.mapper.ClassPathMapperScanner]Skipping MapperFactoryBean with name 'userGroupMapper' and 'com.fdzc.springboot01.mapper.UserGroupMapper' mapperInterface. Bean already defined with the same name!
[WARN][06-05 16:20:30,863][org.mybatis.spring.mapper.ClassPathMapperScanner]Skipping MapperFactoryBean with name 'userMapper' and 'com.fdzc.springboot01.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
[WARN][06-05 16:20:30,863][org.mybatis.spring.mapper.ClassPathMapperScanner]Skipping MapperFactoryBean with name 'userTaskMapper' and 'com.fdzc.springboot01.mapper.UserTaskMapper' mapperInterface. Bean already defined with the same name!
[WARN][06-05 16:20:30,863][org.mybatis.spring.mapper.ClassPathMapperScanner]No MyBatis mapper was found in '[com.fdzc.springboot01]' package. Please check your configuration.
[DEBUG][06-05 16:20:31,363][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
[DEBUG][06-05 16:20:31,597][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
[DEBUG][06-05 16:20:31,613][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
[DEBUG][06-05 16:20:31,613][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'forceAutoProxyCreatorToUseClassProxying'
[DEBUG][06-05 16:20:31,629][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
[DEBUG][06-05 16:20:31,629][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
[DEBUG][06-05 16:20:31,676][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
[DEBUG][06-05 16:20:31,676][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
[DEBUG][06-05 16:20:31,691][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
[DEBUG][06-05 16:20:31,691][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
[DEBUG][06-05 16:20:31,691][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinderFactory'
[DEBUG][06-05 16:20:31,707][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'persistenceExceptionTranslationPostProcessor'
[DEBUG][06-05 16:20:31,722][org.springframework.beans.factory.support.DefaultListableBeanFactory]Autowiring by type from bean name 'persistenceExceptionTranslationPostProcessor' via factory method to bean named 'environment'
[DEBUG][06-05 16:20:31,785][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
[DEBUG][06-05 16:20:31,926][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
[DEBUG][06-05 16:20:31,926][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
[DEBUG][06-05 16:20:31,957][org.springframework.ui.context.support.UiApplicationContextUtils]Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@2ce86164]
[DEBUG][06-05 16:20:31,957][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'tomcatServletWebServerFactory'
[DEBUG][06-05 16:20:31,957][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryConfiguration$EmbeddedTomcat'
[DEBUG][06-05 16:20:31,957][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
[DEBUG][06-05 16:20:31,972][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration'
[DEBUG][06-05 16:20:32,035][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'transactionAttributeSource'
[DEBUG][06-05 16:20:32,082][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'transactionInterceptor'
[DEBUG][06-05 16:20:32,082][org.springframework.beans.factory.support.DefaultListableBeanFactory]Autowiring by type from bean name 'transactionInterceptor' via factory method to bean named 'transactionAttributeSource'
[DEBUG][06-05 16:20:32,254][org.springframework.beans.factory.support.DefaultListableBeanFactory]Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionAttributeSource'
[DEBUG][06-05 16:20:32,269][org.springframework.beans.factory.support.DefaultListableBeanFactory]Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionInterceptor'
[DEBUG][06-05 16:20:32,675][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'websocketServletWebServerCustomizer'
[DEBUG][06-05 16:20:32,675][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.websocket.servlet.WebSocketServletAutoConfiguration$TomcatWebSocketConfiguration'
[DEBUG][06-05 16:20:32,675][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'servletWebServerFactoryCustomizer'
[DEBUG][06-05 16:20:32,675][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryAutoConfiguration'
[DEBUG][06-05 16:20:32,691][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
[DEBUG][06-05 16:20:32,738][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.boot.context.properties.BoundConfigurationProperties'
[DEBUG][06-05 16:20:32,894][org.springframework.beans.factory.support.DefaultListableBeanFactory]Autowiring by type from bean name 'servletWebServerFactoryCustomizer' via factory method to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
